id,name,country_id,state_id
1,"Andorra la Vella",6,488
2,Arinsal,6,493
3,Canillo,6,489
4,"El Tarter",6,489
5,Encamp,6,487
6,Ordino,6,491
7,"Pas de la Casa",6,487
8,"Sant Julià de Lòria",6,490
9,"la Massana",6,493
10,"les Escaldes",6,492
11,"Abu Dhabi Island and Internal Islands City",231,3396
12,"Abu Dhabi Municipality",231,3396
13,"Adh Dhayd",231,3390
14,Ajman,231,3395
15,"Ajman City",231,3395
16,"Al Ain City",231,3396
17,"Al Ain Municipality",231,3396
18,"Al Batayih",231,3390
19,"Al Dhafra",231,3396
20,"Al Fujairah City",231,3393
21,"Al Fujairah Municipality",231,3393
22,"Al Hamriyah",231,3390
23,"Al Madam",231,3390
24,"Al Shamkhah City",231,3396
25,"Ar Ruways",231,3396
26,"Bani Yas City",231,3396
27,Dhaid,231,3390
28,"Dibba Al Fujairah Municipality",231,3393
29,"Dibba Al Hesn",231,3390
30,"Dibba Al-Fujairah",231,3393
31,"Dibba Al-Hisn",231,3393
32,Dubai,231,3391
33,Kalba,231,3390
34,"Khalifah A City",231,3396
35,"Khawr Fakkān",231,3390
36,"Khor Fakkan",231,3390
37,Manama,231,3395
38,Masfout,231,3395
39,Milehah,231,3390
40,Murbaḩ,231,3390
41,Musaffah,231,3396
42,Muzayri‘,231,3396
43,"Ras Al Khaimah",231,3394
44,"Ras Al Khaimah City",231,3394
45,"Reef Al Fujairah City",231,3393
46,Sharjah,231,3390
47,"Umm AL Quwain",231,3392
48,"Umm Al Quwain City",231,3392
49,"Zayed City",231,3396
50,Andkhoy,1,3889
51,Asadabad,1,3876
52,Ashkāsham,1,3901
53,Aībak,1,3883
54,Baghlān,1,3875
55,Balkh,1,3884
56,"Baraki Barak",1,3897
57,Bāmyān,1,3872
58,Bāsawul,1,3882
59,Bāzārak,1,3881
60,"Chahār Burj",1,3887
61,Charikar,1,3895
62,Chīras,1,3885
63,Darzāb,1,3886
64,"Dasht-e Archī",1,3900
65,Dowlatābād,1,3884
66,Farah,1,3899
67,"Fayrōz Kōh",1,3888
68,Fayzabad,1,3901
69,Gardez,1,3894
70,Gereshk,1,3873
71,Ghazni,1,3870
72,Ghormach,1,3871
73,Ghōriyān,1,3887
74,Herāt,1,3887
75,"Imām Şāḩib",1,3900
76,"Jabal os Saraj",1,3895
77,Jalālābād,1,3882
78,Jurm,1,3901
79,Kabul,1,3902
80,"Kafir Qala",1,3887
81,Kandahār,1,3890
82,Karukh,1,3887
83,Khanabad,1,3900
84,Khandūd,1,3901
85,Khulm,1,3884
86,Khāsh,1,3896
87,Khōst,1,3878
88,Kuhsān,1,3887
89,Kunduz,1,3900
90,Kushk,1,3887
91,Lab-Sar,1,3884
92,Larkird,1,3885
93,"Lashkar Gāh",1,3873
